Timestamp,What is your favorite season?,What is your favorite weather?,What is your favorite time of the day?,"To the nearest hour, how long would you ideally spend per day outside in your favorite weather?"
2/24/2021 0:30:42,spring,windy,evenings (dusk),2
2/24/2021 0:31:28,summer,raining,late night,0
2/24/2021 0:33:58,summer,sunny,evenings (dusk),24
2/24/2021 0:54:31,winter,raining,late night,7
2/24/2021 0:57:47,spring,raining,late night,3
2/24/2021 1:02:43,spring,raining,evenings (dusk),2
2/24/2021 1:39:57,spring,raining,evenings (dusk),7
2/24/2021 2:02:35,fall,raining,evenings (dusk),0
2/24/2021 2:39:56,fall,raining,evenings (dusk),0
2/24/2021 4:27:32,winter,snowing,late afternoon,4
2/24/2021 4:41:37,spring,sunny,early morning (dawn),4
2/24/2021 10:04:33,fall,raining,late night,2
2/27/2021 2:05:14,summer,raining,late night,10
2/27/2021 4:47:37,winter,raining,early morning (dawn),0
2/27/2021 4:47:54,spring,windy,late night,10
2/27/2021 4:48:27,fall,snowing,evenings (dusk),2
2/27/2021 4:48:52,winter,sunny,late night,15
